activity, total, EO, IR
empty_37, 45, 36, 9
hand_interacts_with_person, 91, 91, 0
person_carries_heavy_object, 421, 421, 0
person_closes_facility_door, 7, 7, 0
person_closes_trunk, 18, 18, 0
person_closes_vehicle_door, 181, 181, 0
person_embraces_person, 50, 50, 0
person_enters_scene_through_structure, 756, 756, 0
person_enters_vehicle, 109, 109, 0
person_exits_scene_through_structure, 727, 727, 0
person_exits_vehicle, 73, 73, 0
person_interacts_with_laptop, 7, 7, 0
person_loads_vehicle, 7, 7, 0
person_opens_facility_door, 387, 387, 0
person_opens_trunk, 17, 17, 0
person_opens_vehicle_door, 188, 188, 0
person_picks_up_object, 689, 689, 0
person_purchases, 9, 9, 0
person_puts_down_object, 592, 592, 0
person_reads_document, 25, 25, 0
person_rides_bicycle, 3, 3, 0
person_sits_down, 453, 453, 0
person_stands_up, 430, 430, 0
person_talks_on_phone, 90, 90, 0
person_talks_to_person, 653, 653, 0
person_texts_on_phone, 299, 299, 0
person_transfers_object, 107, 107, 0
person_unloads_vehicle, 5, 5, 0
vehicle_drops_off_person, 10, 10, 0
vehicle_makes_u_turn, 14, 14, 0
vehicle_picks_up_person, 12, 12, 0
vehicle_reverses, 44, 44, 0
vehicle_starts, 163, 163, 0
vehicle_stops, 163, 163, 0
vehicle_turns_left, 154, 154, 0
vehicle_turns_right, 128, 128, 0

Total (non-empty),7082,7082,0

Total clips, 266
EO clips, 257
IR clips, 9

Git hash, 743149a2ea7adfcc2ed34b607e31d6197cdb54ae
